lat,lng,val
-34.762116,150.678303,12090
-30.205908,145.251371,12055
-31.934883,147.30573,12010
-29.083319,151.999661,11950
-43.077586,147.958441,11920
-31.640292,116.681727,11895
-34.194216,150.768408,11875
-30.40364,122.683881,11825
-36.957983,144.05651,11760
-34.764484,149.286631,11670
-27.627522,152.753696,11660
-30.170441,142.203381,11640
-33.401152,122.211127,11620
-40.782341,145.057623,11585
-37.919937,145.945214,11460
-25.189298,152.300968,11380
-36.554037,146.82759,11360
-38.178237,142.952372,11355
-36.764269,144.285267,11340
-31.838398,116.0261,11280
-26.659559,152.010432,11275
-31.966754,151.080412,11265
-23.354937,150.557538,11230
-34.58378,138.705675,11165
-33.305478,150.918639,11130
-37.020122,149.220453,11120
-33.802932,138.582681,11105
-33.035496,148.16819,11105
-26.112408,151.870256,11030
-27.733991,153.204523,11000
-35.097045,139.475946,10990
-41.237355,146.239406,10965
-34.347195,150.342214,10950
-33.032688,119.098339,10935
-38.460127,145.995174,10855
-41.148031,146.99252,10805
-24.734545,115.15198,10755
-28.461128,153.494236,10720
-37.39051,148.660943,10680
-41.158791,147.502082,10635
-30.097726,152.658268,10595
-28.865483,153.532475,10455
-26.828067,153.088435,10415
-32.084784,115.798722,10340
-38.535802,142.908911,10320
-33.482209,151.401999,10235
-31.145898,151.762627,10220
-32.364861,152.270901,10215
-36.428694,145.526693,10195
-33.205773,138.080191,10185
-32.557981,115.728286,10175
-17.090606,124.591962,10120
-35.357619,144.984378,10090
-37.231524,142.956916,10075
-36.656422,144.178282,10070
-34.321422,145.914625,10025
-33.106675,151.533807,10005
-26.87578,152.503797,10000
-36.409113,148.232341,9985
-33.466271,150.88744,9970
-38.182084,141.952156,9950
-27.322775,152.814527,9950
-34.912078,138.696113,9935
-32.239696,151.685456,9935
-26.91784,152.760081,9925
-37.457785,143.343429,9865
-20.428447,146.275575,9835
-27.418572,152.438771,9820
-36.056449,146.470638,9780
-38.388291,143.557159,9775
-41.432254,147.077589,9770
-25.535828,152.042802,9765
-37.449179,140.260783,9705
-34.862038,148.796477,9690
-29.736171,151.869397,9670
-37.408371,141.687516,9555
-24.393618,150.458694,9550
-30.77067,152.751629,9455
-31.551822,145.406579,9390
-37.606088,145.513804,9305
-37.651463,144.239102,9300
-36.31227,142.968057,9300
-36.404324,148.833511,9265
-35.248539,138.975861,9230
-27.070177,152.960273,9195
-35.322291,148.784415,9175
-27.572999,152.060385,9170
-35.939649,149.912199,9165
-34.577328,139.326979,9145
-35.091002,138.757945,9070
-37.566489,149.217216,9055
-37.330661,144.548846,9025
-34.900496,138.642172,9025
-31.505932,150.372784,8995
-32.14622,151.102917,8965
-27.316799,150.910979,8965
-27.803453,152.472702,8960
-37.267687,149.792364,8955
-27.307845,152.939438,8935
-37.78272,144.770641,8915
-24.675045,149.615027,8900
-22.141251,117.057776,8885
-38.482182,145.231974,8865
-30.361305,119.311267,8835
-33.019117,151.57181,8810
-27.089517,152.321536,8770
-29.327323,115.098073,8750
-41.567876,147.488412,8740
-32.248568,150.701949,8685
-34.548722,150.855135,8680
-38.118855,142.034141,8650
-43.00658,147.256698,8640
-35.215386,149.029308,8635
-35.405064,147.64961,8605
