val	lat	lng
12235	-36.792946	140.496496
12230	-19.914965	147.133033
12190	-39.830946	144.159775
12090	-34.762116	150.678303
12055	-30.205908	145.251371
12010	-31.934883	147.30573
11950	-29.083319	151.999661
11920	-43.077586	147.958441
11895	-31.640292	116.681727
11875	-34.194216	150.768408
11825	-30.40364	122.683881
11760	-36.957983	144.05651
11670	-34.764484	149.286631
11660	-27.627522	152.753696
11640	-30.170441	142.203381
11620	-33.401152	122.211127
11585	-40.782341	145.057623
11460	-37.919937	145.945214
11380	-25.189298	152.300968
11360	-36.554037	146.82759
11355	-38.178237	142.952372
11340	-36.764269	144.285267
11280	-31.838398	116.0261
11275	-26.659559	152.010432
11265	-31.966754	151.080412
11230	-23.354937	150.557538
11165	-34.58378	138.705675
11130	-33.305478	150.918639
11120	-37.020122	149.220453
11105	-33.802932	138.582681
11105	-33.035496	148.16819
11030	-26.112408	151.870256
11000	-27.733991	153.204523
10990	-35.097045	139.475946
10965	-41.237355	146.239406
10950	-34.347195	150.342214
10935	-33.032688	119.098339
10855	-38.460127	145.995174
10805	-41.148031	146.99252
10755	-24.734545	115.15198
10720	-28.461128	153.494236
10680	-37.39051	148.660943
10635	-41.158791	147.502082
10595	-30.097726	152.658268
10455	-28.865483	153.532475
10415	-26.828067	153.088435
10340	-32.084784	115.798722
10320	-38.535802	142.908911
10235	-33.482209	151.401999
10220	-31.145898	151.762627
10215	-32.364861	152.270901
10195	-36.428694	145.526693
10185	-33.205773	138.080191
10175	-32.557981	115.728286
10120	-17.090606	124.591962
10090	-35.357619	144.984378
10075	-37.231524	142.956916
10070	-36.656422	144.178282
10025	-34.321422	145.914625
10005	-33.106675	151.533807
10000	-26.87578	152.503797
9985	-36.409113	148.232341
9970	-33.466271	150.88744
9950	-38.182084	141.952156
9950	-27.322775	152.814527
9935	-34.912078	138.696113
9935	-32.239696	151.685456
9925	-26.91784	152.760081
9865	-37.457785	143.343429
9835	-20.428447	146.275575
9820	-27.418572	152.438771
9780	-36.056449	146.470638
9775	-38.388291	143.557159
9770	-41.432254	147.077589
9765	-25.535828	152.042802
9705	-37.449179	140.260783
9690	-34.862038	148.796477
9670	-29.736171	151.869397
9555	-37.408371	141.687516
9550	-24.393618	150.458694
9455	-30.77067	152.751629
9390	-31.551822	145.406579
9305	-37.606088	145.513804
9300	-37.651463	144.239102
9300	-36.31227	142.968057
9265	-36.404324	148.833511
9230	-35.248539	138.975861
9195	-27.070177	152.960273
9175	-35.322291	148.784415
9170	-27.572999	152.060385
9165	-35.939649	149.912199
9145	-34.577328	139.326979
9070	-35.091002	138.757945
9055	-37.566489	149.217216
9025	-37.330661	144.548846
9025	-34.900496	138.642172
8995	-31.505932	150.372784
8965	-32.14622	151.102917
8965	-27.316799	150.910979
8960	-27.803453	152.472702
8955	-37.267687	149.792364
8935	-27.307845	152.939438
8915	-37.78272	144.770641
8900	-24.675045	149.615027
8885	-22.141251	117.057776
8865	-38.482182	145.231974
